date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2017-12-01,Amaravati,1.0,Poor,244,O3
2017-12-02,Amaravati,1.0,Moderate,188,O3
2017-12-03,Amaravati,1.0,Poor,238,PM2.5
2017-12-04,Amaravati,1.0,Moderate,161,PM2.5
2017-12-05,Amaravati,1.0,Poor,213,PM2.5
2017-12-06,Amaravati,1.0,Poor,211,O3
2017-12-07,Amaravati,1.0,Poor,265,PM2.5
2017-12-08,Amaravati,1.0,Poor,293,PM2.5
2017-12-09,Amaravati,1.0,Moderate,160,PM2.5
2017-12-10,Amaravati,1.0,Moderate,111,O3
2017-12-11,Amaravati,1.0,Poor,205,O3
2017-12-12,Amaravati,1.0,Moderate,195,PM2.5
2017-12-13,Amaravati,1.0,Moderate,131,PM2.5
2017-12-14,Amaravati,1.0,Moderate,122,PM2.5
2017-12-15,Amaravati,1.0,Moderate,138,PM2.5
2017-12-16,Amaravati,1.0,Moderate,166,PM2.5
2017-12-17,Amaravati,1.0,Poor,223,PM2.5
2017-12-18,Amaravati,1.0,Poor,239,PM2.5
2017-12-19,Amaravati,1.0,Poor,234,PM2.5
2017-12-20,Amaravati,1.0,Poor,208,PM2.5
2017-12-21,Amaravati,1.0,Moderate,173,PM2.5
2017-12-22,Amaravati,1.0,Moderate,169,PM2.5
2017-12-23,Amaravati,1.0,Moderate,171,O3
2017-12-24,Amaravati,1.0,Poor,239,PM2.5
2017-12-25,Amaravati,1.0,Poor,249,PM2.5
2017-12-26,Amaravati,1.0,Poor,262,PM2.5
2017-12-27,Amaravati,1.0,Poor,255,PM2.5
2017-12-28,Amaravati,1.0,Poor,211,PM2.5
2017-12-29,Amaravati,1.0,Moderate,179,PM2.5
2017-12-30,Amaravati,1.0,Moderate,108,PM2.5
2017-12-31,Amaravati,1.0,Moderate,120,PM10
2018-01-01,Amaravati,1.0,Moderate,105,O3
2018-01-02,Amaravati,1.0,Moderate,166,O3
2018-01-03,Amaravati,1.0,Moderate,156,O3
2018-01-04,Amaravati,1.0,Moderate,195,PM2.5
2018-01-05,Amaravati,1.0,Poor,221,PM2.5
2018-01-06,Amaravati,1.0,Poor,253,O3
2018-01-07,Amaravati,1.0,Poor,272,O3
2018-01-08,Amaravati,1.0,Poor,248,O3
2018-01-09,Amaravati,1.0,Poor,272,O3
2018-01-10,Amaravati,1.0,Poor,287,O3
2018-01-11,Amaravati,1.0,Poor,285,O3
2018-01-12,Amaravati,1.0,Poor,246,PM2.5
2018-01-13,Amaravati,1.0,Moderate,184,O3
2018-01-14,Amaravati,1.0,Poor,201,PM2.5
2018-01-15,Amaravati,1.0,Moderate,164,PM2.5
2018-01-16,Amaravati,1.0,Moderate,134,PM2.5
2018-01-17,Amaravati,1.0,Moderate,129,PM2.5
2018-01-18,Amaravati,1.0,Moderate,134,PM2.5
2018-01-19,Amaravati,1.0,Moderate,115,PM2.5
2018-01-20,Amaravati,1.0,Moderate,139,PM2.5
2018-01-21,Amaravati,1.0,Moderate,185,PM2.5
2018-01-22,Amaravati,1.0,Moderate,160,PM2.5
2018-01-23,Amaravati,1.0,Moderate,158,PM2.5
2018-01-24,Amaravati,1.0,Moderate,170,PM2.5
2018-01-25,Amaravati,1.0,Moderate,132,PM2.5
2018-01-26,Amaravati,1.0,Moderate,188,PM2.5
2018-01-27,Amaravati,1.0,Moderate,162,PM2.5
2018-01-28,Amaravati,1.0,Moderate,158,PM2.5
2018-01-29,Amaravati,1.0,Moderate,140,PM2.5
2018-01-30,Amaravati,1.0,Moderate,177,PM2.5
2018-01-31,Amaravati,1.0,Moderate,131,PM2.5
2018-02-01,Amaravati,1.0,Moderate,139,PM10
2018-02-02,Amaravati,1.0,Moderate,127,PM10
2018-02-03,Amaravati,1.0,Moderate,106,PM10
2018-02-04,Amaravati,1.0,Moderate,120,PM10
2018-02-05,Amaravati,1.0,Moderate,100,PM10
2018-02-06,Amaravati,1.0,Satisfactory,95,PM10
2018-02-07,Amaravati,1.0,Satisfactory,93,PM10
2018-02-08,Amaravati,1.0,Moderate,127,PM10
2018-02-09,Amaravati,1.0,Satisfactory,76,PM10
2018-02-10,Amaravati,1.0,Satisfactory,51,PM10
2018-02-11,Amaravati,1.0,Moderate,130,PM2.5
2018-02-12,Amaravati,1.0,Moderate,116,PM2.5
2018-02-13,Amaravati,1.0,Moderate,110,PM2.5
2018-02-14,Amaravati,1.0,Satisfactory,99,PM10
2018-02-15,Amaravati,1.0,Moderate,109,PM10
2018-02-16,Amaravati,1.0,Moderate,121,PM10
2018-02-17,Amaravati,1.0,Satisfactory,98,PM10
2018-02-18,Amaravati,1.0,Satisfactory,82,PM10
2018-02-19,Amaravati,1.0,Satisfactory,93,PM2.5
2018-02-20,Amaravati,1.0,Satisfactory,97,PM10
2018-02-21,Amaravati,1.0,Moderate,100,PM10
2018-02-22,Amaravati,1.0,Moderate,104,PM10
2018-02-23,Amaravati,1.0,Moderate,101,PM10
2018-02-24,Amaravati,1.0,Moderate,121,PM2.5
2018-02-25,Amaravati,1.0,Moderate,108,PM10
2018-02-26,Amaravati,1.0,Satisfactory,89,PM10
2018-02-27,Amaravati,1.0,Moderate,116,PM10
2018-02-28,Amaravati,1.0,Moderate,110,PM10
2018-03-01,Amaravati,1.0,Satisfactory,93,PM10
2018-03-02,Amaravati,1.0,Satisfactory,87,PM10
2018-03-03,Amaravati,1.0,Satisfactory,83,PM10
2018-03-04,Amaravati,1.0,Satisfactory,85,PM10
2018-03-05,Amaravati,1.0,Satisfactory,71,PM10
2018-03-06,Amaravati,1.0,Satisfactory,99,PM10
2018-03-07,Amaravati,1.0,Satisfactory,74,PM10
2018-03-08,Amaravati,1.0,Moderate,112,PM10
2018-03-09,Amaravati,1.0,Moderate,115,PM2.5
2018-03-10,Amaravati,1.0,Moderate,100,PM10
2018-03-11,Amaravati,1.0,Satisfactory,86,PM10
2018-03-12,Amaravati,1.0,Satisfactory,75,PM10
2018-03-13,Amaravati,1.0,Satisfactory,78,PM10
2018-03-14,Amaravati,1.0,Satisfactory,67,PM10
2018-03-16,Amaravati,1.0,Good,44,PM10
2018-03-17,Amaravati,1.0,Satisfactory,73,PM2.5
2018-03-18,Amaravati,1.0,Satisfactory,83,PM10
2018-03-19,Amaravati,1.0,Satisfactory,76,PM10
2018-03-20,Amaravati,1.0,Satisfactory,76,PM10
2018-03-22,Amaravati,1.0,Satisfactory,90,PM10
2018-03-23,Amaravati,1.0,Satisfactory,92,PM10
2018-03-24,Amaravati,1.0,Satisfactory,86,PM10
2018-03-25,Amaravati,1.0,Satisfactory,72,PM10
2018-03-26,Amaravati,1.0,Satisfactory,82,PM10
2018-03-27,Amaravati,1.0,Satisfactory,72,PM10
2018-03-28,Amaravati,1.0,Satisfactory,61,PM10
2018-03-29,Amaravati,1.0,Satisfactory,51,PM10
2018-03-30,Amaravati,1.0,Satisfactory,53,PM10
2018-03-31,Amaravati,1.0,Satisfactory,56,PM10
2018-04-01,Amaravati,1.0,Good,49,PM10
2018-04-02,Amaravati,1.0,Satisfactory,55,PM10
2018-04-03,Amaravati,1.0,Satisfactory,56,PM10
2018-04-04,Amaravati,1.0,Satisfactory,55,PM10
2018-04-05,Amaravati,1.0,Satisfactory,50,PM10
2018-04-07,Amaravati,1.0,Satisfactory,76,PM10
2018-04-08,Amaravati,1.0,Satisfactory,77,PM10
2018-04-09,Amaravati,1.0,Satisfactory,54,PM10
2018-04-10,Amaravati,1.0,Satisfactory,59,PM10
2018-04-13,Amaravati,1.0,Good,37,CO
2018-04-14,Amaravati,1.0,Good,33,PM10
2018-04-15,Amaravati,1.0,Good,26,PM10
2018-04-16,Amaravati,1.0,Good,31,PM10
2018-04-17,Amaravati,1.0,Good,31,PM10
2018-04-19,Amaravati,1.0,Good,39,PM10
2018-04-21,Amaravati,1.0,Satisfactory,51,PM10
2018-04-22,Amaravati,1.0,Good,41,PM10
2018-04-25,Amaravati,1.0,Satisfactory,75,PM10
2018-04-27,Amaravati,1.0,Good,44,PM10
2018-04-28,Amaravati,1.0,Good,35,PM10
2018-04-29,Amaravati,1.0,Satisfactory,54,CO
2018-05-01,Amaravati,1.0,Satisfactory,58,PM10
2018-05-02,Amaravati,1.0,Satisfactory,51,PM10
